"","Fish_no","zoo_mean","zoo_sd","fish_mean","fish_sd","pref_mean","pref_sd","sst_mean","species","fish_size_class"
"108",108,-4.38425713515787,0.352834451399586,-2.90505208352107,0.416715810000806,-2.57956457405464,0.402397149217767,-0.83759267963469,"KRA",0.425
"109",109,-4.38425713515787,0.352834451399586,-2.50452587558945,0.108788244012498,-2.47807412423636,0.138288697065085,-0.839826634526253,"KRA",0.525
"110",110,-4.20007734971729,0.478351405161129,-2.4934238514387,0.430388988048521,-2.03529580104881,0.470208652167124,4.14794764593244,"KRA",-0.175
"111",111,-4.20007734971729,0.478351405161129,-2.76602674080973,0.347373799029429,-2.56552076323285,0.343944161900488,4.15912759322673,"KRA",-0.225
"112",112,-4.20007734971729,0.478351405161129,-2.85777803032822,0.374642139000986,-2.59653387699476,0.403569245439544,4.16282999706455,"KRA",-0.325
"113",113,-4.32827622108381,0.382256839328699,-2.83169192730706,0.245304332897168,-2.57355831315521,0.52007061126026,-0.918442314863205,"KRA",0.375
"114",114,-4.32827622108381,0.382256839328699,-2.83932919623362,0.169529913968466,-2.57069281558493,0.603907700535651,-0.918442314863205,"KRA",0.425
"115",115,-4.25678274689645,0.531239644592783,-3.05568932333248,0.11741309997825,-3.03468183643255,0.13106033411657,1.49580372311175,"KRA",-0.325
"116",116,-4.25678274689645,0.531239644592783,-3.11940233562202,0.15794446719745,-3.07518603790663,0.197685282208362,1.44347058311105,"KRA",-0.375
"117",117,-4.25678274689645,0.531239644592783,-2.88281234786528,0.192510042038122,-2.83287307614065,0.187499173912641,1.48153104856611,"KRA",-0.425
"118",118,-4.25678274689645,0.531239644592783,-3.17268041859886,0.206367531921644,-3.11669317999807,0.189450645719576,1.51324810311198,"KRA",-0.525
"119",119,-4.25678274689645,0.531239644592783,-3.00426636840422,0.345893164497093,-2.83376134163638,0.341609624432935,1.86213570311666,"KRA",0.125
"120",120,-4.25678274689645,0.531239644592783,-2.56469565020704,0.399760146524945,-2.13206584265053,0.586310130045134,1.84208300784231,"KRA",0.325
"121",121,-4.25678274689645,0.531239644592783,-2.50235050271012,0.417898261657688,-2.16182584563618,0.49944397479196,1.85010408595205,"KRA",0.375
"122",122,-4.25678274689645,0.531239644592783,-2.21974683679503,0.449417322121793,-1.75864098036037,0.5256519564188,1.81291545107961,"KRA",0.425
"123",123,-4.25678274689645,0.531239644592783,-2.95354445545604,0.300654829645905,-2.70010382018721,0.539448482378665,1.83539877608419,"KRA",0.475
"124",124,-4.08110870964042,0.579726090992902,-2.39377802943744,0.305762454551209,-2.25166125486541,0.320635797220832,1.53429366722703,"KRA",0.375
"125",125,-4.08110870964042,0.579726090992902,-2.07482411783077,0.445479428367084,-1.81092637361283,0.365184141649545,1.53429366722703,"KRA",0.475
"126",126,-4.14361185245566,0.618466442149526,-3.49016175206317,0.685651618839271,-3.01386844234681,0.749402682805834,3.53254312366247,"KRA",-0.125
"127",127,-4.14361185245566,0.618466442149526,-2.71522171251315,0.336868233326083,-2.56564589283082,0.370997673319852,3.46101692897432,"KRA",-0.225
